pit_id,src_year,lat_dd,lon_dd,in_aoi,has_coordinates,saxaul_status,label_role,label_strength,label_weight,confidence,evidence_source,role_reason,landform_vegetation,evidence_quote,has_narrative_block,top_salt_sum_salts_pct,prof_salt_sum_salts_pct,top_salt_cl_pct,prof_salt_cl_pct,top_salt_so4_pct,prof_salt_so4_pct,top_salt_na_pct,prof_salt_na_pct,top_salt_alk_hco3_pct,prof_salt_alk_hco3_pct,top_salt_ca_pct,prof_salt_ca_pct,top_salt_mg_pct,prof_salt_mg_pct,top_humus_pct,prof_humus_pct,top_n_total_pct,prof_n_total_pct,top_c_n_ratio,prof_c_n_ratio,top_caco3_pct,prof_caco3_pct,top_caso4_pct,prof_caso4_pct,top_exch_ca,prof_exch_ca,top_exch_mg,prof_exch_mg,top_exch_na,prof_exch_na,top_exch_k,prof_exch_k,top_exch_sum,prof_exch_sum,top_p2o5_mobile,prof_p2o5_mobile,top_k2o_mobile,prof_k2o_mobile,top_ph_water,prof_ph_water,top_sand_pct,prof_sand_pct,top_silt_pct,prof_silt_pct,top_clay_pct,prof_clay_pct,top_physical_clay_lt0p01,prof_physical_clay_lt0p01,top_hygroscopic_water_pct,prof_hygroscopic_water_pct,n_layers,depth_to_moist_cm,depth_to_salt_cm,rust_mottling_flag,gley_flag,solum_depth_cm,hcl_effervescence_class,surface_crust_flag,marine_shell_flag,horizon_salic_flag,horizon_ploughed_flag,rs_ndmi,rs_ndvi,rs_ndwi_nir,rs_ndsi_green_swir2,rs_br_nir_swir2,rs_bi,rs_slope_deg,rs_scl,v5_zone_map,v5_zone_recomputed,v5_zone_name,rs_prod_valid,rs30_ndmi,rs30_msavi,rs30_si,rs30_ndwi,rs30_slope,rs30_twi,rs30_vh,rs30_valid,y_suitable
09/13,2013,46.15313888888889,61.254,True,True,absent_recorded,negative,weak,0.4,low,morphology,vegetated non-saxaul community (not confident absence),Бугристые пески / джузгуновая с караганой,Бугристые пески / джузгуновая с караганой,True,0.031,0.031,0.003,0.003,0.002,0.002,0.003,0.003,0.017,0.017,0.003,0.003,0.001,0.001,0.08000000000000002,0.08000000000000002,0.018000000000000002,0.0144,2.6,2.6,,,,,1.5,1.5,1.5833333333333333,1.75,0.9299999999999999,0.9540000000000001,0.06333333333333332,0.066,4.1,4.3,8.666666666666666,6.4,76.66666666666667,82.0,9.266666666666667,9.314285714285715,85.55000000000001,85.55000000000001,12.84,12.84,1.61,1.61,4.82,4.82,0.32,0.32,4,0.0,,0,0,100.0,,0,0,0,0,,,,,,0.0,0.5419090986251831,0.0,0.0,,Water / NoData / Shadow,False,-0.10918217897415161,0.17302851378917694,2682.432861328125,-0.19149531424045563,,,-60.0,True,0.0
09/14,2014,45.60908333333334,61.77733333333333,True,True,absent_recorded,exclude,,0.0,low,morphology,"agriculture/ploughed land, not candidate terrain",Рисовое поле,Рисовое поле,True,0.547,0.547,0.02,0.02,0.347,0.347,0.047,0.047,0.017,0.017,0.086,0.086,0.017,0.017,0.5414285714285715,0.4515789473684211,0.047,0.042,6.935714285714285,6.189473684210526,14.978571428571428,15.133333333333333,,,8.535714285714286,7.5394736842105265,2.857142857142857,2.763157894736842,0.4407142857142857,0.3826315789473684,0.12357142857142857,0.12000000000000001,11.978571428571428,10.826315789473684,14.571428571428571,14.571428571428571,169.28571428571428,169.28571428571428,8.614285714285714,8.775,62.16,62.16,29.38,29.38,8.45,8.45,20.53,20.53,0.6,0.6,5,0.0,,0,0,110.0,2.0,0,0,0,1,,,,,,0.0,0.44379276037216187,0.0,0.0,,Water / NoData / Shadow,False,0.013349332846701145,0.5186131596565247,1242.859619140625,-0.4405117332935333,,,-60.0,True,
10А/12,2012,46.029694444444445,60.93655555555555,True,True,absent_recorded,negative,weak,0.4,low,morphology,vegetated non-saxaul community (not confident absence),"Плоская поверхность / редкими кустиками карабарака, кермека, тамарикса","Плоская поверхность / редкими кустиками карабарака, кермека, тамарикса",True,14.839,14.839,5.796,5.796,3.906,3.906,3.5,3.5,0.027,0.027,0.882,0.882,0.536,0.536,0.9900000000000001,0.9900000000000001,0.07363636363636364,0.07363636363636364,7.509090909090909,7.509090909090909,,,,,9.795454545454545,9.795454545454545,25.772727272727273,25.772727272727273,1.2054545454545453,1.2054545454545453,0.6581818181818182,0.6581818181818182,37.47272727272727,37.47272727272727,22.90909090909091,22.90909090909091,1345.4545454545455,1345.4545454545455,8.78,8.688461538461539,18.63,18.63,66.72,66.72,14.65,14.65,24.0,24.0,1.68,1.68,6,12.0,0.0,1,1,100.0,2.0,1,0,0,0,,,,,,0.0,0.33227279782295227,0.0,0.0,,Water / NoData / Shadow,False,-0.06843769550323486,0.0947737917304039,2852.92578125,-0.1090361475944519,,,-60.0,True,0.0
11/13,2013,46.141194444444444,61.42091666666666,True,True,absent_recorded,negative,weak,0.4,low,morphology,vegetated non-saxaul community (not confident absence),"Склон увала, неогеновые глины / полынная с солянками и эфемерами","Склон увала, неогеновые глины / полынная с солянками и эфемерами",True,0.05,0.05,0.003,0.003,0.012,0.012,0.008,0.008,0.02,0.02,0.003,0.003,0.001,0.001,0.14777777777777779,0.14777777777777779,0.028,0.028,3.0925925925925926,3.0925925925925926,1.0,1.0,0.3,0.3,5.796296296296297,5.796296296296297,3.314814814814815,3.314814814814815,1.2837037037037038,1.2837037037037038,0.1796296296296296,0.1796296296296296,10.54814814814815,10.54814814814815,79.62962962962963,79.62962962962963,615.1851851851852,615.1851851851852,8.185185185185185,8.185185185185185,77.24000000000001,77.24000000000001,15.45,15.45,7.32,7.32,16.67,16.67,1.6200000000000003,1.6200000000000003,3,0.0,17.0,0,0,75.0,2.0,0,0,0,0,,,,,,0.0,2.55816912651062,0.0,0.0,,Water / NoData / Shadow,False,-0.12345406413078308,0.16224037110805511,2676.20068359375,-0.15076833963394165,,,-60.0,True,0.0
11/14,2014,45.569027777777784,61.75944444444445,True,True,absent_recorded,exclude,,0.0,low,morphology,"agriculture/ploughed land, not candidate terrain",Действующий рисовой массив / поле засорено тростником,Действующий рисовой массив / поле засорено тростником,True,0.791,0.791,0.049,0.049,0.495,0.495,0.10700000000000001,0.10700000000000001,0.024,0.024,0.048,0.048,0.05800000000000001,0.05800000000000001,0.5933333333333335,0.5125000000000001,0.037333333333333336,0.035,9.2,8.3,20.633333333333333,21.66,,,13.083333333333334,12.375,7.166666666666667,6.625,0.20666666666666667,0.4175,0.2833333333333333,0.2725,20.766666666666666,19.7,15.666666666666666,15.666666666666666,430.0,372.5,,,24.19,24.19,54.33,54.33,21.49,21.49,52.3,52.3,1.3,1.3,5,0.0,,1,1,110.0,2.0,0,0,0,1,,,,,,0.0,0.26605820655822754,0.0,0.0,,Water / NoData / Shadow,False,0.40915635228157043,0.6926414370536804,714.5684204101562,-0.4356116056442261,,,-60.0,True,
11А/12,2012,46.05777777777777,60.902944444444444,True,True,absent_recorded,exclude,,0.0,low,morphology,"floodplain/reed/chingil wetland, not candidate terrain","Ровная морская поверхность / кустарниковой растительностью (в основном - тамарикс, солянки, тростник)","Ровная морская поверхность / кустарниковой растительностью (в основном - тамарикс, солянки, тростник)",True,1.455,1.455,0.052000000000000005,0.052000000000000005,0.952,0.952,0.065,0.065,0.027000000000000003,0.027000000000000003,0.294,0.294,0.045,0.045,0.764,0.764,0.086,0.086,5.26,5.26,,,,,7.8,7.8,8.8,8.8,0.768,0.768,0.598,0.598,17.96,17.96,22.8,22.8,600.0,600.0,8.255172413793103,8.363636363636363,7.95,7.95,79.36,79.36,12.68,12.68,60.96,60.96,2.22,2.22,6,36.0,,1,1,85.0,2.0,1,1,0,0,,,,,,0.0,0.41848206520080566,0.0,0.0,,Water / NoData / Shadow,False,-0.09393799304962158,0.14503012597560883,2741.579833984375,-0.15755246579647064,,,-60.0,True,
12/13,2013,46.15247222222222,61.62083333333334,True,True,absent_recorded,negative,weak,0.4,low,morphology,vegetated non-saxaul community (not confident absence),Высокий берег оз. Камыш-Лобаш / биюргуновой растительностью,Высокий берег оз. Камыш-Лобаш / биюргуновой растительностью,True,0.071,0.071,,,0.019,0.019,0.011,0.011,0.032,0.032,0.006,0.006,0.001,0.001,0.17956521739130435,0.18200000000000002,0.026173913043478266,0.022000000000000002,4.9173913043478255,5.22,5.1695652173913045,3.881818181818182,,1.7,5.3478260869565215,5.0,2.630434782608696,2.5,2.9117391304347824,3.047142857142857,0.17478260869565215,0.14285714285714282,11.069565217391304,10.685714285714285,13.173913043478262,10.714285714285714,368.69565217391306,274.2857142857143,9.386956521739132,9.027272727272727,31.74,31.74,48.650000000000006,48.650000000000006,19.62,19.62,47.41,47.41,2.14,2.14,6,0.0,18.0,0,0,80.0,2.0,0,0,1,0,,,,,,0.0,0.4426620304584503,0.0,0.0,,Water / NoData / Shadow,False,-0.06367041170597076,0.127777099609375,202.44505310058594,0.1803278625011444,,,-60.0,True,0.0
12/14,2014,45.52616666666667,61.75525,True,True,sparse_suppressed,positive,weak,0.6,low,narrative,natural sparse/suppressed saxaul at pit (marginal but supports it),Поверхность отакырена / мелкокустарниковые солянки,"Растительность мелкокустарниковые солянки, кое-где сохранились кусты саксаула.",True,0.311,0.311,0.059,0.059,0.132,0.132,0.028000000000000004,0.028000000000000004,0.02,0.02,0.048,0.048,0.009,0.009,0.8059999999999999,0.7014285714285714,0.039200000000000006,0.036000000000000004,12.34,11.414285714285715,15.9,19.744444444444444,,,11.15,11.15,4.7,4.7,0.154,0.154,0.3,0.3,16.3,16.3,23.333333333333332,23.333333333333332,436.0,436.0,,,64.97,64.97,26.18,26.18,8.86,8.86,24.56,24.56,0.6,0.6,5,5.0,5.0,1,0,90.0,2.0,1,0,0,0,,,,,,0.0,0.358613520860672,0.0,0.0,,Water / NoData / Shadow,False,-0.06269993633031845,0.25559893250465393,1753.627685546875,-0.2295425981283188,,,-60.0,True,1.0
12А/12,2012,46.02941666666666,60.77802777777778,True,True,absent_recorded,negative,weak,0.4,low,morphology,vegetated non-saxaul community (not confident absence),"Плоская поверхность обсохшего дна моря / изреженной солянковой растительностью (единичные солянки, тамарикс)","Плоская поверхность обсохшего дна моря / изреженной солянковой растительностью (единичные солянки, тамарикс)",True,10.67,10.67,3.7950000000000004,3.7950000000000004,3.167,3.167,2.68,2.68,0.032,0.032,0.49000000000000005,0.49000000000000005,0.343,0.343,1.036,1.036,0.098,0.098,6.06,6.06,,,,,10.0,10.0,18.0,18.0,1.0,1.0,0.804,0.804,29.8,29.8,17.4,17.4,1480.0,1480.0,8.68,8.927272727272728,28.22,28.22,59.81999999999999,59.81999999999999,11.96,11.96,27.23,27.23,3.04,3.04,6,5.0,,1,1,90.0,2.0,1,1,0,0,,,,,,0.0,0.32066628336906433,0.0,0.0,,Water / NoData / Shadow,False,-0.0737260952591896,0.08423900604248047,3274.815185546875,-0.09944896399974823,,,-60.0,True,0.0
13/13,2013,46.1625,61.622305555555556,True,True,planted_failed,negative,strong,1.0,high,narrative,documented plantation failure (gold negative),"Плоская высокая поверхность / распаханная грядка, без растительности","Сажали саксаул, ничего прижилось.",True,1.004,1.004,0.004,0.004,0.69,0.69,0.007000000000000001,0.007000000000000001,0.015,0.015,0.276,0.276,0.006,0.006,0.275,0.2533333333333333,0.042,0.03266666666666667,4.1,5.633333333333334,1.3,1.3,,7.95,18.75,17.6,2.25,2.1666666666666665,1.0899999999999999,1.6766666666666665,0.10999999999999999,0.08333333333333331,22.25,21.533333333333335,7.5,6.0,195.0,253.33333333333334,7.95,7.8,77.50999999999999,77.50999999999999,10.83,10.83,11.66,11.66,17.91,17.91,3.94,3.94,4,0.0,0.0,0,0,85.0,,0,0,0,1,,,,,,0.0,1.832099437713623,0.0,0.0,,Water / NoData / Shadow,False,-0.11191099137067795,0.1291927695274353,2756.25390625,-0.16647563874721527,,,-60.0,True,0.0
13А/12,2012,46.01488888888889,60.739333333333335,True,True,absent_recorded,negative,weak,0.4,low,morphology,vegetated non-saxaul community (not confident absence),"Плоская поверхность / солянковой растительностью, в отдалении редкие кусты тамарикса","Плоская поверхность / солянковой растительностью, в отдалении редкие кусты тамарикса",True,1.985,1.985,0.168,0.168,1.209,1.209,0.167,0.167,0.02,0.02,0.294,0.294,0.089,0.089,0.73,0.73,0.07,0.07,6.0,6.0,,,,,16.0,16.0,2.5,2.5,0.86,0.86,0.95,0.95,20.3,20.3,11.0,11.0,1020.0,1020.0,8.6,8.6,35.91,35.91,57.06,57.06,7.029999999999999,7.029999999999999,31.01,31.01,3.2599999999999993,3.2599999999999993,1,12.0,,1,1,85.0,2.0,1,1,0,0,,,,,,0.0,0.2948623597621918,0.0,0.0,,Water / NoData / Shadow,False,-0.06740355491638184,0.08063279837369919,3405.729248046875,-0.08991894870996475,,,-60.0,True,0.0
14/13,2013,46.209694444444445,61.62972222222222,True,True,sparse_suppressed,positive,weak,0.6,medium,narrative,natural sparse/suppressed saxaul at pit (marginal but supports it),Высокие волнистые однородные поверхности / полынно-эбелековой растительностью,Разрез заложен под полынно-эбелековой с редкими кустиками саксаула растительностью.,True,0.046,0.046,0.001,0.001,0.016,0.016,0.004,0.004,0.015,0.015,0.003,0.003,0.002,0.002,0.3888888888888889,0.3888888888888889,0.04822222222222223,0.04822222222222223,4.699999999999999,4.699999999999999,,,,,3.638888888888889,3.638888888888889,2.361111111111111,2.361111111111111,0.9066666666666667,0.9066666666666667,0.4122222222222222,0.4122222222222222,7.288888888888888,7.288888888888888,33.0,33.0,360.0,360.0,8.566666666666666,8.566666666666666,86.28,86.28,8.469999999999999,8.469999999999999,5.24,5.24,10.09,10.09,0.84,0.84,3,0.0,,0,0,85.0,2.0,0,0,0,0,,,,,,0.0,0.5695957541465759,0.0,0.0,,Water / NoData / Shadow,False,-0.13982179760932922,0.1774042546749115,2357.777587890625,-0.2046072632074356,,,-60.0,True,1.0
14/14,2014,45.654805555555555,61.81705555555556,True,True,absent_recorded,exclude,,0.0,low,morphology,"agriculture/ploughed land, not candidate terrain",Рисовое поле / тростник,Рисовое поле / тростник,True,0.891,0.891,0.042,0.042,0.595,0.595,0.095,0.095,0.017,0.017,0.048,0.048,0.087,0.087,0.7707142857142857,0.6875,0.043000000000000003,0.042,10.457142857142857,9.55,17.82857142857143,18.86,,,8.053571428571429,7.4375,3.9285714285714284,3.5625,0.9721428571428571,0.8099999999999999,0.21,0.20250000000000004,13.192857142857141,12.025,21.428571428571427,21.333333333333332,185.0,183.33333333333334,,,33.9,33.9,57.239999999999995,57.239999999999995,8.87,8.87,30.22,30.22,0.7,0.7,5,0.0,,1,1,90.0,2.0,0,0,0,1,,,,,,0.0,0.3653823435306549,0.0,0.0,,Water / NoData / Shadow,False,-0.07827889919281006,0.20132721960544586,2304.517333984375,-0.18949657678604126,,,-60.0,True,
14А/12,2012,46.019416666666665,60.72980555555556,True,True,absent_recorded,negative,weak,0.4,low,morphology,vegetated non-saxaul community (not confident absence),Плоская поверхность / засохшей солянковой растительностью,Плоская поверхность / засохшей солянковой растительностью,True,7.714,7.714,2.691,2.691,2.456,2.456,1.6149999999999998,1.6149999999999998,0.029000000000000005,0.029000000000000005,0.343,0.343,0.44699999999999995,0.44699999999999995,0.7743333333333333,0.7743333333333333,0.06733333333333333,0.06733333333333333,5.1952380952380945,5.1952380952380945,,,,,10.775,10.775,12.083333333333334,12.083333333333334,0.9466666666666668,0.9466666666666668,0.621,0.621,24.446666666666665,24.446666666666665,6.566666666666666,6.566666666666666,1020.6666666666666,1020.6666666666666,8.78,8.934999999999999,36.77,36.77,50.43,50.43,12.809999999999999,12.809999999999999,17.21,17.21,0.06,0.06,5,5.0,,1,1,80.0,2.0,1,1,0,0,,,,,,0.0,0.4846765100955963,0.0,0.0,,Water / NoData / Shadow,False,-0.0718497484922409,0.067051462829113,3409.60107421875,-0.08156254142522812,,,-60.0,True,0.0
